timestamp,wind_speed_10m,wind_speed_80m,wind_speed_100m,wind_direction_100m,temperature_2m,surface_pressure,relative_humidity_2m
2026-01-31 00:00:00,15.0,30.1,30.9,66,-4.1,952.3,64
2026-01-31 01:00:00,16.0,30.9,31.7,65,-4.3,952.5,63
2026-01-31 02:00:00,17.3,32.7,33.6,63,-3.9,952.7,60
2026-01-31 03:00:00,18.0,31.9,32.8,64,-2.9,953.2,57
2026-01-31 04:00:00,18.6,32.0,32.9,61,0.3,953.9,48
2026-01-31 05:00:00,20.6,28.8,29.5,58,3.0,953.9,38
2026-01-31 06:00:00,23.6,31.3,32.1,56,4.7,953.6,35
2026-01-31 07:00:00,25.5,34.2,35.1,54,5.9,952.9,31
2026-01-31 08:00:00,24.3,32.8,33.7,55,6.7,952.4,30
2026-01-31 09:00:00,21.7,30.0,30.8,54,6.6,951.9,32
2026-01-31 10:00:00,19.2,29.1,29.8,53,5.8,951.7,37
2026-01-31 11:00:00,17.2,30.2,31.0,57,3.7,951.6,46
2026-01-31 12:00:00,12.4,26.1,26.8,58,1.9,951.6,55
2026-01-31 13:00:00,11.5,25.4,26.1,59,0.9,951.7,58
2026-01-31 14:00:00,8.7,22.0,22.6,59,0.4,951.8,57
2026-01-31 15:00:00,5.7,16.7,17.2,62,0.2,952.3,57
2026-01-31 16:00:00,3.0,10.8,11.0,66,0.3,953.0,56
2026-01-31 17:00:00,1.7,6.3,6.4,101,0.9,953.4,51
2026-01-31 18:00:00,3.8,5.6,5.7,242,-0.5,953.8,56
2026-01-31 19:00:00,3.6,7.4,7.6,263,-1.6,953.8,58
2026-01-31 20:00:00,0.5,3.2,3.2,326,-1.4,954.0,56
2026-01-31 21:00:00,1.1,4.7,4.8,68,-1.8,953.9,57
2026-01-31 22:00:00,1.7,7.9,8.1,59,-1.9,953.8,57
2026-01-31 23:00:00,1.2,7.5,7.6,63,-1.6,954.3,54
2026-02-01 00:00:00,1.0,5.4,5.6,268,-3.2,954.8,62
2026-02-01 01:00:00,2.0,2.8,2.9,97,-3.6,954.1,61
2026-02-01 02:00:00,4.7,8.0,8.2,50,-3.8,953.9,63
2026-02-01 03:00:00,8.2,18.0,18.5,60,-2.0,954.7,55
2026-02-01 04:00:00,10.0,20.8,21.3,60,0.1,955.7,47
