turbine_id,valid_time,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,temperature_2m_previous_day1,temperature_2m_previous_day2
turbine_1,2025-12-31 00:00:00+00:00,1.64,2.06,2.75,4.57,0.4,0.5
turbine_1,2025-12-31 01:00:00+00:00,1.93,1.57,2.2,3.93,0.7,1.0
turbine_1,2025-12-31 02:00:00+00:00,1.9,1.36,1.75,2.9,0.4,1.2
turbine_1,2025-12-31 03:00:00+00:00,1.6,1.14,1.1,2.62,2.0,1.4
turbine_1,2025-12-31 04:00:00+00:00,1.32,1.0,1.99,2.6,3.6,3.0
turbine_1,2025-12-31 05:00:00+00:00,1.33,1.36,3.61,3.31,4.4,4.1
turbine_1,2025-12-31 06:00:00+00:00,1.7,0.81,3.26,2.67,6.5,4.1
turbine_1,2025-12-31 07:00:00+00:00,3.33,0.82,5.48,3.21,6.3,4.5
turbine_1,2025-12-31 08:00:00+00:00,3.58,1.49,5.78,3.8,6.1,5.4
turbine_1,2025-12-31 09:00:00+00:00,4.13,1.57,6.02,3.98,6.2,5.5
turbine_1,2025-12-31 10:00:00+00:00,4.48,1.49,7.08,3.61,4.9,4.9
turbine_1,2025-12-31 11:00:00+00:00,3.93,2.01,8.13,3.81,3.7,3.1
turbine_1,2025-12-31 12:00:00+00:00,4.15,3.18,9.01,7.43,3.2,1.8
turbine_1,2025-12-31 13:00:00+00:00,4.05,3.45,9.18,7.95,3.1,1.8
turbine_1,2025-12-31 14:00:00+00:00,4.35,3.23,9.72,8.05,3.1,2.1
turbine_1,2025-12-31 15:00:00+00:00,3.67,2.91,8.81,7.56,2.2,1.7
turbine_1,2025-12-31 16:00:00+00:00,3.71,2.7,8.71,6.55,1.8,1.3
turbine_1,2025-12-31 17:00:00+00:00,3.01,1.6,8.27,5.09,1.4,1.0
turbine_1,2025-12-31 18:00:00+00:00,1.91,1.35,6.07,4.52,3.0,2.2
turbine_1,2025-12-31 19:00:00+00:00,0.51,1.46,3.92,3.83,2.5,2.5
turbine_1,2025-12-31 20:00:00+00:00,1.8,1.12,0.76,2.83,1.8,3.1
turbine_1,2025-12-31 21:00:00+00:00,2.48,2.28,0.98,1.3,1.6,3.5
