turbine_id,valid_time,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,temperature_2m_previous_day1,temperature_2m_previous_day2
turbine_1,2026-01-31 00:00:00+00:00,4.81,5.15,14.4,14.19,-2.4,-4.2
turbine_1,2026-01-31 01:00:00+00:00,5.25,5.35,14.58,15.4,-2.6,-4.0
turbine_1,2026-01-31 02:00:00+00:00,5.41,5.5,14.72,15.21,-2.7,-4.1
turbine_1,2026-01-31 03:00:00+00:00,5.61,5.41,14.63,14.8,-2.3,-3.8
turbine_1,2026-01-31 04:00:00+00:00,6.26,6.0,14.81,14.49,-0.4,-2.2
turbine_1,2026-01-31 05:00:00+00:00,7.2,7.42,15.8,15.26,1.4,-0.4
turbine_1,2026-01-31 06:00:00+00:00,7.75,8.14,15.86,16.51,4.0,1.0
turbine_1,2026-01-31 07:00:00+00:00,8.19,8.45,16.23,16.2,5.1,2.3
turbine_1,2026-01-31 08:00:00+00:00,8.32,8.1,16.12,16.18,6.0,3.1
turbine_1,2026-01-31 09:00:00+00:00,7.95,7.29,14.3,15.36,6.0,3.6
turbine_1,2026-01-31 10:00:00+00:00,7.29,7.34,12.63,13.46,5.6,3.0
turbine_1,2026-01-31 11:00:00+00:00,6.31,6.4,11.23,11.81,3.9,1.5
turbine_1,2026-01-31 12:00:00+00:00,4.79,4.79,10.16,11.41,2.0,-0.6
turbine_1,2026-01-31 13:00:00+00:00,2.94,3.62,9.67,10.91,0.9,-1.4
turbine_1,2026-01-31 14:00:00+00:00,2.22,2.64,8.32,9.97,0.4,-1.9
turbine_1,2026-01-31 15:00:00+00:00,2.12,2.69,7.15,10.02,-0.0,-1.8
turbine_1,2026-01-31 16:00:00+00:00,1.87,2.21,5.82,8.86,-0.4,-1.9
turbine_1,2026-01-31 17:00:00+00:00,1.57,2.67,4.88,9.23,-1.2,-1.6
turbine_1,2026-01-31 18:00:00+00:00,1.28,2.11,3.61,6.68,-1.8,-1.9
turbine_1,2026-01-31 19:00:00+00:00,1.39,2.3,3.95,6.96,-1.8,-1.8
turbine_1,2026-01-31 20:00:00+00:00,1.96,2.98,4.77,8.04,-1.2,-1.8
turbine_1,2026-01-31 21:00:00+00:00,2.6,3.64,6.18,9.34,-0.6,-1.9
turbine_1,2026-01-31 22:00:00+00:00,3.41,3.96,8.26,10.02,-0.6,-2.0
turbine_1,2026-01-31 23:00:00+00:00,4.22,3.85,10.38,10.38,-1.0,-2.6
turbine_1,2026-02-01 00:00:00+00:00,4.12,3.36,10.78,10.2,-1.6,-1.3
turbine_1,2026-02-01 01:00:00+00:00,5.47,3.49,11.73,10.47,-1.8,-1.4
turbine_1,2026-02-01 02:00:00+00:00,4.78,4.17,11.44,10.63,-2.6,-1.4
turbine_1,2026-02-01 03:00:00+00:00,3.47,4.44,9.78,11.05,-2.4,-1.0
turbine_1,2026-02-01 04:00:00+00:00,5.41,5.02,11.36,10.31,-0.4,0.4
turbine_1,2026-02-01 05:00:00+00:00,5.96,6.14,10.96,10.82,3.0,2.1
turbine_1,2026-02-01 06:00:00+00:00,6.48,6.55,10.6,11.81,3.8,4.6
turbine_1,2026-02-01 07:00:00+00:00,6.63,6.93,11.14,11.72,5.1,5.2
turbine_1,2026-02-01 08:00:00+00:00,6.91,6.93,10.87,11.24,5.9,5.9
turbine_1,2026-02-01 09:00:00+00:00,6.44,6.8,10.26,11.05,5.9,6.0
turbine_1,2026-02-01 10:00:00+00:00,6.07,6.6,10.18,10.7,5.0,5.6
turbine_1,2026-02-01 11:00:00+00:00,5.59,6.44,10.38,10.73,3.3,4.2
turbine_1,2026-02-01 12:00:00+00:00,4.13,5.33,9.26,10.79,1.7,2.2
turbine_1,2026-02-01 13:00:00+00:00,4.16,4.08,9.75,10.25,1.2,1.0
turbine_1,2026-02-01 14:00:00+00:00,3.89,3.58,9.39,10.11,1.2,0.7
turbine_1,2026-02-01 15:00:00+00:00,4.1,3.49,9.48,10.38,0.9,0.5
turbine_1,2026-02-01 16:00:00+00:00,4.11,3.81,9.45,10.91,1.1,0.3
turbine_1,2026-02-01 17:00:00+00:00,3.94,3.92,9.79,11.0,0.3,0.4
